Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;09;    57.2;    57.2;   106.0;    89.1;    49.3;    66.6;    46.9;    46.9;    72.8;    77.1;    48.8;    84.2;    77.0;    50.0;    51.8;    54.0;    70.1;
1882;09;    72.7;    72.6;   168.9;   112.5;    97.0;    34.7;    51.1;    50.7;    86.4;   137.5;    52.1;   160.6;   127.5;    67.7;    78.2;    91.3;    94.4;
1883;09;    48.0;    48.0;    93.7;    91.9;    64.8;    37.1;    57.7;    57.6;    76.8;    82.4;    65.4;    97.7;    73.3;    45.7;    51.8;    59.4;    70.4;
1884;09;    46.2;    46.0;    39.5;    33.5;    30.3;    42.9;    55.4;    55.8;    39.4;    29.9;    77.3;    36.0;    38.6;    47.6;    39.9;    30.3;    41.8;
1885;09;    52.2;    52.2;   115.1;   112.5;    63.0;    62.6;    71.2;    71.3;    82.4;    79.7;    90.7;    95.1;    72.1;    44.9;    50.8;    58.1;    81.7;
1886;09;    27.9;    27.9;    58.6;    47.4;    41.3;    33.0;    33.6;    33.7;    40.2;    51.3;    46.3;    53.6;    37.1;    24.1;    26.8;    30.1;    40.6;
1887;09;    28.6;    28.6;    56.0;    51.2;    59.7;    40.5;    51.8;    51.9;    76.6;    63.3;    76.8;    65.5;    32.1;    25.7;    30.8;    37.2;    50.9;
1888;09;    27.3;    27.3;    77.5;    89.7;    26.3;    26.5;    23.1;    23.2;    30.2;    36.9;    33.6;    55.4;    47.9;    24.1;    27.7;    32.2;    46.5;
1889;09;    35.9;    35.9;    87.8;    94.0;    58.2;    49.3;    67.8;    68.0;    72.9;    55.6;    83.9;    58.1;    52.5;    29.2;    36.1;    44.7;    66.9;
1890;09;    13.4;    13.4;    25.6;    75.9;     4.8;    13.6;    11.9;    12.0;     9.1;     9.5;    20.2;    11.7;    27.0;    10.1;    10.8;    11.7;    26.4;
1891;09;    58.9;    58.5;    48.5;    59.7;    38.0;    46.1;    28.6;    28.6;    28.7;    39.3;    61.4;    42.7;    57.2;    31.1;    34.3;    38.2;    45.2;
1892;09;    47.5;    47.6;    80.5;   128.3;    53.6;    60.3;    60.5;    60.2;    85.5;    60.2;    67.6;    64.8;    51.3;    44.6;    47.8;    51.9;    75.3;
1893;09;    39.3;    39.4;    87.6;    86.5;    66.5;    67.8;    84.6;    85.1;    80.4;    62.7;   117.7;    72.6;    45.9;    39.6;    47.1;    56.6;    73.2;
1894;09;    47.6;    47.9;   106.6;   109.2;    92.7;    55.5;    53.1;    52.9;    82.7;    90.6;    50.4;   104.4;    83.2;    54.0;    70.0;    90.2;    80.0;
1895;09;    26.9;    26.9;     8.2;    21.5;    13.3;    22.3;    20.5;    20.5;    19.6;     9.6;    30.9;     5.9;    39.0;    17.7;    20.1;    23.1;    20.3;
1896;09;    81.6;    81.6;   144.2;   108.7;    73.2;   105.4;    96.0;    96.4;    91.8;    97.3;   140.7;   126.5;    62.9;    70.0;    65.7;    60.3;    98.5;
1897;09;    72.0;    71.9;   134.5;   120.2;    88.8;    83.7;    83.9;    84.1;    79.0;    81.3;   115.4;    78.6;    82.9;    99.2;   105.2;   112.7;    98.3;
1898;09;    31.3;    31.6;    21.8;    33.8;    22.6;    36.0;    26.1;    26.1;    22.6;    17.7;    25.3;    14.0;    45.7;    25.5;    30.1;    35.9;    28.6;
1899;09;    77.3;    77.5;   110.7;   176.5;   112.7;    72.3;   108.1;   107.8;   124.1;   101.5;   132.8;    96.9;   131.1;   100.2;   109.2;   120.6;   120.6;
1900;09;    29.1;    28.9;    44.7;    40.7;    35.3;    21.9;    22.7;    22.6;    28.5;    32.4;    33.3;    22.6;    39.0;    32.9;    32.6;    32.2;    33.1;
1901;09;    45.9;    45.8;    98.6;    59.6;   103.5;    30.9;    64.8;    64.3;   109.4;   125.5;    35.0;   146.2;    50.1;    67.3;    68.2;    69.4;    72.2;
1902;09;    63.1;    63.1;    46.2;    54.2;    45.7;    59.7;    56.6;    56.8;    61.9;    48.3;    63.2;    54.2;    60.9;    47.1;    48.1;    49.3;    54.9;
1903;09;    51.8;    51.8;    57.2;    54.2;    59.9;    67.3;    80.9;    80.8;    82.9;    45.5;    85.6;    34.9;    56.7;    58.7;    61.3;    64.6;    63.4;
1904;09;    27.7;    27.5;   102.7;    93.5;    71.2;    21.2;    41.0;    40.8;    45.1;    77.0;    30.1;    71.2;    47.2;    41.8;    54.0;    69.4;    60.8;
1905;09;    64.2;    63.8;    91.9;    68.7;    63.2;    52.4;    68.4;    68.6;    77.5;    69.5;    79.8;    71.8;    74.2;    68.0;    75.5;    84.9;    71.7;
1906;09;    79.6;    79.7;    44.0;    87.4;    38.1;    52.2;    58.2;    57.7;    36.2;    25.5;    42.0;    21.3;   128.7;    93.6;    90.2;    85.9;    64.9;
1907;09;    42.8;    42.4;    52.8;    55.1;    46.0;    16.8;    22.5;    22.3;    32.9;    41.4;    14.8;    32.8;    49.1;    48.9;    49.2;    49.5;    40.7;
1908;09;    23.1;    23.4;    97.6;    82.7;    41.7;    28.9;    40.1;    40.1;    50.0;    44.1;    53.4;    60.9;    45.2;    21.7;    26.8;    33.3;    53.2;
1909;09;    57.4;    57.8;    84.0;    69.0;    82.7;    67.7;   111.2;   110.8;    89.0;    86.8;    92.1;   101.9;    68.8;    73.1;    87.2;   104.9;    81.9;
1910;09;    42.6;    42.9;    66.4;    83.7;    54.3;    50.2;    63.4;    63.2;    89.0;    68.5;    53.4;    49.5;    79.9;    66.6;    63.7;    60.1;    67.8;
1911;09;    29.9;    30.0;    61.9;    54.3;    31.2;    23.4;    29.9;    29.9;    28.5;    30.2;    33.6;    20.9;    59.0;    28.4;    34.0;    41.0;    39.6;
1912;09;    41.0;    41.3;    91.6;   103.4;    61.0;    42.2;    62.9;    62.9;    76.1;    57.6;    69.3;    57.4;    73.9;    38.6;    44.4;    51.6;    70.5;
1913;09;    36.0;    35.9;    86.2;    80.2;    64.1;    54.8;    41.1;    40.6;    65.1;    96.0;    33.2;    97.3;    37.4;    37.9;    37.6;    37.2;    60.1;
1914;09;    57.5;    57.3;   124.2;   102.4;    70.2;    53.6;    84.1;    84.2;    75.8;    82.1;    74.1;   109.1;    72.4;    55.5;    58.9;    63.1;    82.5;
1915;09;    69.3;    69.4;    70.4;    62.9;    35.6;    33.2;    36.4;    36.4;    43.1;    37.4;    45.5;    49.2;   101.5;    33.0;    33.6;    34.3;    52.0;
1916;09;    25.5;    25.5;    68.4;    83.6;    59.3;    28.8;    35.3;    35.6;    47.1;    70.1;    37.8;   105.5;    55.7;    32.4;    46.0;    63.1;    54.4;
1917;09;    18.2;    18.3;    57.3;    49.6;    20.0;    33.1;    36.5;    36.8;    29.9;    19.0;    68.3;    22.2;    26.5;    12.9;    16.5;    21.0;    35.7;
1918;09;    39.4;    39.2;   139.8;    84.2;    90.2;    68.1;    93.6;    93.5;   109.2;    90.8;   139.7;   125.7;    38.3;    43.9;    54.0;    66.7;    86.6;
1919;09;    20.5;    20.6;    62.3;    45.8;    41.9;    19.6;    37.7;    37.8;    50.6;    52.0;    49.9;    56.1;    45.8;    18.8;    23.5;    29.4;    41.1;
1920;09;    41.8;    41.7;   135.9;   114.0;    68.8;    46.4;    51.7;    51.7;    71.2;    78.6;    62.5;    70.3;    52.5;    37.1;    54.3;    75.9;    76.9;
1921;09;    33.6;    33.5;    50.0;    43.8;    22.7;    28.0;    36.5;    36.5;    40.6;    23.2;    38.9;    32.1;    28.5;    32.0;    27.8;    22.5;    36.2;
1922;09;    65.2;    65.4;   144.5;   134.2;    95.8;    82.0;    62.4;    62.2;    89.5;   117.6;    70.7;   103.5;   101.6;    58.3;    66.2;    76.2;    97.4;
1923;09;    30.4;    30.6;    70.5;    50.2;    56.2;    45.3;    52.8;    52.9;    61.0;    70.5;    66.0;    78.4;    28.4;    30.9;    31.9;    33.1;    51.1;
1924;09;    76.0;    76.1;    93.6;    84.6;    96.1;    58.9;    94.9;    94.5;   113.0;    78.4;    66.0;    85.6;   103.8;    75.2;    89.7;   108.0;    88.3;
1925;09;    83.6;    83.2;   104.0;    83.1;    99.4;    92.8;    97.3;    97.8;   124.3;    87.9;   122.0;   103.9;    82.9;    75.3;    82.9;    92.4;    94.9;
1926;09;    44.0;    44.0;    29.9;    37.2;    25.6;    50.8;    61.3;    61.2;    51.3;    22.7;    74.2;    15.1;    36.8;    40.6;    33.8;    25.2;    42.1;
1927;09;    38.1;    38.1;   154.2;   144.7;    86.8;    51.4;    77.6;    78.2;    88.0;    86.2;    89.8;   104.9;    61.0;    34.7;    44.2;    56.2;    92.2;
1928;09;     6.4;     6.5;    25.4;    38.1;    31.4;    21.9;    16.3;    16.3;    23.7;    28.9;    19.6;    29.4;    29.8;    14.3;    20.5;    28.3;    25.0;
1929;09;    16.5;    16.5;    36.0;    35.4;    38.3;    25.5;    35.9;    35.9;    36.3;    26.6;    34.6;    16.1;    22.9;    18.5;    23.2;    29.2;    31.0;
1930;09;    67.3;    67.7;    83.0;    83.9;    79.5;    86.1;    91.5;    92.0;    93.6;    76.1;   110.0;   116.5;    58.1;    56.8;    53.3;    48.9;    80.9;
1931;09;    96.2;    95.9;    87.1;    96.4;    56.6;   102.3;    80.7;    80.9;    50.8;    49.3;    77.8;    52.1;   117.5;    76.5;    78.7;    81.5;    82.8;
1932;09;    57.8;    57.7;    73.2;    77.1;    93.4;    90.0;   105.7;   105.8;   121.0;    98.1;   130.1;    96.6;    48.4;    66.9;    68.0;    69.4;    86.2;
1933;09;    30.5;    30.7;    61.2;    47.9;    39.4;    40.3;    38.2;    38.0;    47.6;    39.1;    25.9;    41.2;    29.4;    30.6;    31.2;    32.0;    41.4;
