Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;03;     1.71;     1.70;     4.42;     2.50;     3.43;     0.40;     2.20;     2.19;     3.81;     4.49;     0.54;     5.37;     1.79;     2.20;     2.18;     2.14;     2.61;
1882;03;     6.44;     6.42;     5.88;     4.87;     6.07;     5.57;     6.53;     6.53;     6.85;     6.25;     5.81;     6.84;     5.93;     6.55;     6.20;     5.76;     5.96;
1883;03;    -2.16;    -2.18;    -0.81;    -2.37;    -1.48;    -2.23;    -1.17;    -1.16;    -0.46;    -0.74;    -1.06;    -0.01;    -3.02;    -2.02;    -2.41;    -2.90;    -1.66;
1884;03;     4.44;     4.43;     5.01;     3.73;     5.07;     3.91;     5.21;     5.21;     5.86;     5.33;     4.42;     5.93;     4.10;     4.79;     4.53;     4.19;     4.65;
1885;03;     2.48;     2.47;     2.85;     1.69;     2.61;     1.99;     2.94;     2.94;     3.25;     2.84;     2.57;     3.59;     1.97;     2.63;     2.34;     1.98;     2.46;
1886;03;    -0.30;    -0.30;     1.34;    -0.39;     0.50;    -0.69;     0.79;     0.78;     2.10;     1.31;     0.02;     2.00;    -0.46;     0.10;    -0.11;    -0.36;     0.38;
1887;03;     1.57;     1.56;     1.00;     0.01;     0.93;     1.26;     1.78;     1.79;     1.80;     1.15;     1.89;     1.70;     0.49;     1.60;     1.15;     0.59;     1.09;
1888;03;    -0.19;    -0.19;     2.07;     0.78;     1.21;    -1.16;     0.46;     0.44;     1.71;     1.94;    -1.07;     2.13;     0.29;     0.36;     0.31;     0.26;     0.69;
1889;03;     0.22;     0.20;     0.30;    -1.20;     0.66;    -0.04;     1.35;     1.35;     1.79;     1.21;     0.59;     1.49;    -0.54;     0.65;     0.22;    -0.32;     0.30;
1890;03;     4.99;     4.97;     3.66;     2.81;     4.08;     4.29;     4.86;     4.86;     5.00;     4.34;     4.15;     4.71;     4.00;     4.82;     4.32;     3.69;     4.11;
1891;03;     3.08;     3.07;     3.04;     2.00;     2.83;     1.92;     2.56;     2.56;     3.19;     3.15;     1.52;     3.36;     2.56;     3.05;     2.71;     2.29;     2.59;
1892;03;     0.69;     0.67;     0.76;    -0.30;     0.67;     0.29;     0.89;     0.89;     1.27;     1.08;     0.72;     1.31;    -0.21;     0.73;     0.31;    -0.23;     0.50;
1893;03;     4.18;     4.17;     4.58;     3.43;     4.78;     3.56;     4.74;     4.74;     5.57;     5.29;     3.78;     5.69;     3.67;     4.70;     4.40;     4.02;     4.33;
1894;03;     4.95;     4.93;     4.51;     3.49;     4.85;     4.47;     5.44;     5.44;     5.70;     5.06;     5.00;     5.41;     4.01;     5.10;     4.68;     4.15;     4.65;
1895;03;     1.59;     1.57;     1.31;     0.17;     1.32;     1.11;     2.30;     2.30;     2.52;     1.85;     1.56;     2.10;     0.84;     1.63;     1.14;     0.53;     1.35;
1896;03;     5.49;     5.47;     5.75;     4.43;     5.69;     4.76;     5.52;     5.52;     6.24;     6.08;     4.64;     6.33;     4.80;     5.57;     5.25;     4.85;     5.29;
1897;03;     4.99;     4.98;     5.79;     4.43;     5.26;     4.14;     5.16;     5.16;     5.66;     5.70;     4.06;     5.98;     4.73;     5.33;     5.05;     4.69;     5.01;
1898;03;     3.55;     3.54;     2.87;     2.27;     3.02;     2.54;     3.01;     3.01;     3.06;     3.06;     2.21;     3.29;     3.18;     3.46;     3.07;     2.59;     2.86;
1899;03;     2.63;     2.61;     3.36;     1.90;     2.60;     1.91;     2.82;     2.82;     3.29;     3.14;     2.09;     3.61;     2.09;     2.84;     2.42;     1.89;     2.56;
1900;03;     0.61;     0.59;     0.45;    -0.83;     0.84;     0.39;     1.46;     1.47;     1.90;     1.37;     0.97;     1.43;    -0.18;     0.97;     0.50;    -0.10;     0.56;
1901;03;     2.35;     2.33;     1.95;     1.63;     2.43;     1.62;     2.60;     2.60;     2.84;     2.75;     1.90;     2.86;     1.45;     2.39;     1.97;     1.45;     2.13;
1902;03;     3.14;     3.13;     3.81;     2.72;     3.81;     2.29;     3.75;     3.75;     4.53;     4.48;     2.84;     4.83;     2.87;     3.55;     3.29;     2.98;     3.40;
1903;03;     6.13;     6.11;     5.35;     4.70;     5.65;     5.54;     6.44;     6.44;     6.68;     5.76;     5.77;     5.88;     5.43;     6.41;     5.92;     5.30;     5.70;
1904;03;     3.00;     2.99;     3.48;     3.09;     3.05;     2.23;     3.17;     3.17;     3.33;     3.27;     2.40;     3.40;     2.77;     3.15;     2.87;     2.50;     3.04;
1905;03;     4.48;     4.47;     4.80;     3.93;     4.82;     3.66;     4.77;     4.78;     5.39;     5.31;     4.17;     5.66;     4.34;     4.71;     4.45;     4.11;     4.53;
1906;03;     2.67;     2.65;     2.14;     1.44;     2.08;     1.90;     2.83;     2.83;     3.02;     2.53;     2.25;     2.95;     1.81;     2.78;     2.20;     1.48;     2.23;
1907;03;     2.93;     2.91;     2.30;     1.35;     3.00;     2.31;     3.40;     3.40;     3.91;     3.35;     2.82;     3.74;     2.08;     3.17;     2.72;     2.16;     2.63;
1908;03;     2.99;     2.98;     2.14;     1.51;     2.31;     2.21;     2.90;     2.91;     2.89;     2.53;     2.36;     2.73;     2.34;     2.81;     2.31;     1.68;     2.34;
1909;03;     1.07;     1.06;     1.86;     1.14;     2.07;    -0.03;     1.85;     1.85;     2.71;     2.48;     0.77;     2.77;     1.23;     1.55;     1.38;     1.18;     1.53;
1910;03;     3.76;     3.75;     3.55;     2.93;     3.73;     3.48;     4.34;     4.35;     4.70;     3.86;     4.32;     4.35;     3.30;     3.72;     3.48;     3.18;     3.70;
1911;03;     4.06;     4.05;     3.89;     3.53;     4.29;     3.11;     4.28;     4.28;     4.92;     4.37;     3.32;     4.56;     3.78;     4.28;     3.98;     3.61;     3.97;
1912;03;     6.04;     6.02;     6.28;     5.44;     6.21;     5.24;     6.39;     6.39;     6.84;     6.53;     5.34;     6.90;     5.77;     6.37;     6.10;     5.76;     6.02;
1913;03;     6.22;     6.21;     6.06;     5.36;     6.35;     5.18;     6.20;     6.20;     6.86;     6.53;     5.25;     6.80;     5.94;     6.43;     6.13;     5.76;     5.99;
1914;03;     4.86;     4.85;     4.62;     3.94;     4.79;     4.19;     5.05;     5.05;     5.37;     5.14;     4.39;     5.42;     4.47;     5.20;     4.78;     4.24;     4.65;
