Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;11;     6.01;     5.99;     5.62;     4.00;     5.93;     5.63;     6.51;     6.50;     7.21;     6.36;     5.92;     6.48;     5.11;     6.08;     5.72;     5.26;     5.67;
1882;11;     4.01;     3.99;     4.27;     3.17;     4.27;     3.37;     4.13;     4.13;     4.70;     4.81;     3.60;     4.90;     3.44;     3.95;     3.70;     3.39;     3.90;
1883;11;     4.92;     4.91;     4.03;     2.79;     4.44;     4.59;     5.17;     5.17;     5.32;     4.72;     4.88;     4.82;     3.90;     4.86;     4.45;     3.93;     4.32;
1884;11;     1.82;     1.81;     1.56;     0.38;     1.89;     2.05;     2.64;     2.63;     3.09;     2.34;     2.37;     2.46;     1.04;     1.84;     1.43;     0.91;     1.74;
1885;11;     2.47;     2.47;     3.68;     2.61;     2.76;     2.12;     2.36;     2.36;     3.35;     3.50;     2.28;     3.86;     2.37;     2.26;     2.03;     1.74;     2.69;
1886;11;     5.59;     5.58;     4.59;     3.65;     5.08;     5.75;     6.06;     6.06;     6.17;     5.23;     6.00;     5.33;     4.62;     5.51;     5.09;     4.55;     5.10;
1887;11;     4.10;     4.09;     2.53;     1.67;     2.56;     3.93;     3.84;     3.85;     3.83;     2.93;     4.03;     3.06;     3.13;     3.61;     2.93;     2.07;     3.05;
1888;11;     3.24;     3.23;     3.49;     1.84;     3.47;     3.46;     4.02;     4.02;     4.69;     4.20;     4.07;     4.44;     2.33;     3.20;     2.78;     2.24;     3.26;
1889;11;     3.42;     3.41;     2.58;     1.43;     2.17;     3.82;     3.59;     3.60;     3.25;     2.54;     4.37;     2.76;     2.34;     3.10;     2.52;     1.78;     2.74;
1890;11;     3.20;     3.18;     2.84;     1.99;     2.99;     3.16;     3.44;     3.44;     3.70;     3.31;     3.48;     3.43;     2.35;     2.97;     2.57;     2.07;     2.90;
1891;11;     3.21;     3.20;     2.19;     1.19;     2.63;     3.33;     3.63;     3.64;     3.69;     2.65;     3.60;     2.98;     2.37;     3.16;     2.72;     2.16;     2.67;
