Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;10;    70.4;    70.4;    69.8;    69.2;    73.1;    74.8;    84.2;    84.4;    70.6;    69.1;   116.6;    71.2;    72.1;    74.0;    74.0;    74.0;    74.9;
1882;10;    38.3;    38.3;   102.9;    85.1;    74.4;    28.5;    39.3;    39.4;    58.6;    87.1;    67.8;    93.6;    64.3;    37.1;    46.8;    59.1;    64.3;
1883;10;    57.2;    57.2;    78.1;    65.8;    67.0;    67.6;    64.8;    64.9;    66.4;    81.3;    92.0;    96.5;    66.3;    54.4;    56.4;    58.9;    67.7;
1884;10;    79.6;    79.7;    73.1;   106.5;    81.2;    77.0;    98.4;    98.5;    87.4;    74.6;   106.6;    80.6;    97.6;    80.6;    82.1;    84.1;    89.6;
1885;10;    54.5;    54.5;   118.6;    88.1;   108.8;    61.5;    94.5;    94.5;   115.2;   121.8;   116.5;   152.2;    64.0;    55.0;    63.8;    74.8;    91.1;
1886;10;    31.0;    31.1;    76.8;    47.1;    73.6;    34.2;    36.7;    36.7;    64.1;    80.9;    47.1;    89.1;    41.8;    29.1;    36.2;    45.2;    50.5;
1887;10;    30.3;    30.3;    58.1;    47.8;    43.1;    51.9;    66.3;    66.4;    65.7;    49.5;    88.9;    56.1;    29.7;    28.0;    30.8;    34.2;    50.8;
1888;10;    79.6;    79.6;    76.7;    72.8;    72.5;    59.3;    80.9;    80.5;    90.7;    67.0;    70.8;    65.9;    92.6;    85.4;    85.0;    84.4;    77.4;
1889;10;   123.9;   124.0;    99.0;    70.5;    54.1;   109.6;    84.3;    84.9;    46.9;    60.4;   129.0;    75.1;   137.4;   119.9;   108.3;    93.6;    88.6;
1890;10;    48.6;    48.6;   102.9;    89.6;    76.6;    60.7;    76.1;    76.2;    90.2;    74.0;    93.5;    80.7;    58.1;    48.5;    57.4;    68.7;    77.3;
1891;10;    23.8;    23.9;    50.0;    35.2;    48.4;    25.3;    31.9;    31.9;    36.2;    48.1;    52.1;    58.6;    29.9;    29.1;    34.6;    41.5;    36.8;
1892;10;    21.2;    21.3;   147.8;    96.5;    68.1;    58.3;    61.9;    62.1;    63.6;    87.0;    81.2;   113.6;    21.9;    26.4;    33.9;    43.4;    71.9;
1893;10;    71.9;    71.8;   105.5;    79.6;   100.5;    90.1;    84.8;    84.9;    96.6;   106.6;   113.4;   122.6;    74.1;    92.8;    95.0;    97.7;    90.4;
1894;10;    57.6;    57.9;   133.8;   128.9;   117.4;    67.8;    87.5;    87.9;    99.2;   114.5;    84.4;    81.8;    91.0;    67.0;    86.2;   110.4;   100.8;
1895;10;    65.0;    64.9;    75.7;    70.2;    86.2;    76.3;    92.3;    92.3;    90.9;    87.9;   129.8;   103.0;    65.8;    61.7;    66.6;    72.8;    79.8;
1896;10;    47.6;    47.6;    95.2;    46.7;    63.4;    45.0;    52.2;    52.1;    72.7;    93.4;    67.1;   138.6;    55.8;    38.0;    43.2;    49.8;    60.0;
1897;10;    24.3;    24.2;    16.4;    27.6;    25.5;    34.6;    34.7;    34.9;    36.8;    16.1;    51.4;     8.3;    30.7;    25.7;    29.7;    34.7;    29.0;
1898;10;    48.3;    48.5;    79.8;    70.2;    60.5;    43.9;    48.2;    48.2;    55.8;    73.1;    51.0;    79.5;    65.0;    45.1;    50.3;    56.9;    59.7;
