Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;02;    24.2;    24.1;    56.7;    39.4;    56.0;    21.7;    43.9;    43.8;    68.2;    63.7;    30.5;    77.0;    34.7;    29.0;    36.5;    46.0;    43.7;
1882;02;    21.1;    21.1;    33.6;    25.6;    34.8;    22.8;    35.9;    35.9;    48.7;    40.1;    30.5;    43.2;    26.9;    20.8;    24.2;    28.4;    31.0;
1883;02;    15.7;    15.6;    40.4;    28.3;    25.7;     9.9;    23.8;    23.8;    38.6;    32.5;    23.5;    32.2;    24.0;    15.6;    17.3;    19.3;    26.1;
1884;02;    22.9;    22.8;    45.0;    25.6;    38.5;    29.7;    29.4;    29.4;    37.7;    44.5;    45.6;    53.9;    24.9;    22.8;    26.5;    31.1;    32.2;
1885;02;    29.7;    29.6;    79.1;    40.6;    55.1;    33.5;    45.8;    45.9;    55.2;    64.6;    58.4;    78.2;    34.4;    29.6;    34.5;    40.7;    47.5;
1886;02;    12.5;    12.5;    23.7;    19.9;    26.4;     9.5;    21.1;    20.9;    29.0;    24.0;    15.7;    24.6;    16.1;    14.8;    17.1;    20.0;    20.0;
1887;02;     8.9;     8.9;    14.8;    13.3;    15.4;     7.7;    10.7;    10.7;    14.7;    13.4;    11.8;    16.4;    13.5;     8.4;    10.3;    12.7;    12.3;
1888;02;    46.8;    46.7;    52.6;    52.4;    37.1;    45.5;    48.6;    48.6;    57.1;    39.3;    51.9;    44.0;    51.0;    47.0;    46.6;    46.2;    49.0;
1889;02;    52.8;    52.6;   104.3;   101.5;    65.0;    48.6;    70.5;    70.4;    82.3;    78.9;    58.6;    87.8;    68.8;    55.3;    61.8;    69.9;    77.0;
1890;02;     7.7;     7.6;     4.7;     6.2;     2.8;     4.1;     6.4;     6.4;     5.0;     3.2;     6.2;     3.9;     9.3;     8.4;     7.5;     6.4;     5.9;
