Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;08;    95.2;    95.2;   128.2;   124.4;   104.4;    86.9;   110.4;   110.2;   146.0;    99.3;   124.0;    86.9;   135.9;    97.2;   105.8;   116.7;   115.8;
1882;08;    78.7;    78.7;    98.9;   110.9;   102.6;    92.4;   115.8;   115.5;   119.9;    96.6;   124.5;    96.8;    93.8;    76.6;    82.5;    89.8;   102.6;
1883;08;    49.9;    50.1;    56.6;    48.4;    42.0;    78.3;    59.2;    59.4;    58.2;    45.8;    79.1;    49.8;    59.1;    36.2;    37.6;    39.3;    54.0;
1884;08;    27.3;    27.3;    87.2;    92.5;    77.6;    29.5;    50.0;    49.7;    70.2;    64.3;    29.1;    58.9;    41.3;    29.4;    42.6;    59.3;    61.1;
1885;08;    69.6;    69.6;    66.2;    62.6;    59.6;    67.0;    74.5;    74.4;    68.4;    69.9;    72.5;    73.5;    78.6;    70.3;    67.5;    64.0;    68.1;
1886;08;    29.1;    29.1;    90.9;   105.1;    46.7;    32.5;    51.0;    50.9;    66.3;    45.8;    47.0;    41.8;    35.4;    32.1;    37.3;    44.0;    61.1;
1887;08;    47.1;    47.1;    73.9;    79.7;    52.3;    44.4;    54.5;    54.2;    49.1;    46.9;    42.0;    53.4;    62.3;    47.0;    51.6;    57.2;    58.6;
1888;08;    46.5;    46.5;   108.0;   117.7;    69.6;    50.0;    81.2;    81.5;    76.5;    64.2;    82.5;    65.7;    72.4;    44.3;    52.0;    61.7;    80.5;
1889;08;    49.3;    49.3;    77.4;    88.9;    64.5;    85.3;    88.0;    88.1;    96.0;    67.1;   111.5;    64.6;    58.9;    43.8;    50.3;    58.4;    77.3;
1890;08;    79.4;    79.4;   162.1;   178.9;    99.7;    85.5;    93.3;    93.4;   107.8;    97.3;   123.8;    90.8;   126.2;    76.4;    94.9;   118.2;   120.6;
