Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1907;12;     1.08;     1.07;     2.09;     0.59;     1.51;     1.13;     2.26;     2.26;     2.72;     2.20;     1.97;     2.69;     0.68;     1.37;     0.95;     0.42;     1.51;
1908;12;    -1.48;    -1.49;    -0.34;    -1.57;    -0.23;    -1.31;     0.53;     0.53;     0.89;     0.10;     0.64;     0.41;    -1.52;    -0.58;    -0.78;    -1.04;    -0.54;
1909;12;     2.06;     2.05;     2.08;     0.73;     1.95;     1.82;     2.45;     2.45;     2.72;     2.29;     2.14;     2.69;     1.54;     2.26;     1.83;     1.29;     1.86;
1910;12;     2.47;     2.47;     2.31;     1.45;     2.50;     2.46;     3.58;     3.59;     4.36;     2.99;     3.29;     3.42;     2.36;     2.57;     2.19;     1.72;     2.62;
1911;12;     2.43;     2.42;     2.98;     1.77;     3.21;     2.43;     3.92;     3.92;     4.64;     3.80;     3.32;     4.54;     2.33;     3.02;     2.72;     2.34;     2.97;
1912;12;     3.99;     3.98;     1.84;     0.88;     2.43;     4.15;     4.76;     4.77;     4.64;     2.59;     4.72;     2.84;     3.26;     4.18;     3.47;     2.57;     3.10;
1913;12;     2.89;     2.89;     0.91;     0.59;     1.67;     3.16;     3.14;     3.16;     2.70;     1.59;     3.62;     1.50;     1.84;     2.75;     2.12;     1.33;     2.02;
1914;12;     3.79;     3.78;     3.11;     1.85;     3.89;     3.74;     4.42;     4.42;     4.78;     4.26;     4.03;     4.55;     3.16;     4.10;     3.67;     3.13;     3.52;
1915;12;     2.54;     2.54;     4.64;     3.21;     4.06;     1.28;     3.56;     3.55;     4.83;     4.82;     1.89;     5.34;     3.29;     3.33;     3.28;     3.23;     3.48;
1916;12;     2.54;     2.53;     1.44;     1.01;     1.70;     2.08;     2.16;     2.16;     2.29;     1.97;     2.06;     2.16;     2.16;     2.19;     1.75;     1.19;     1.82;
1917;12;    -1.19;    -1.20;    -3.65;    -3.99;    -2.22;    -0.76;    -0.77;    -0.75;    -0.97;    -1.74;    -0.01;    -1.50;    -2.38;    -1.34;    -2.03;    -2.88;    -2.07;
1918;12;     3.52;     3.52;     3.89;     2.96;     4.11;     2.95;     4.73;     4.73;     5.21;     4.74;     3.83;     4.78;     3.06;     4.11;     3.76;     3.31;     3.86;
1919;12;     0.17;     0.16;     1.15;    -0.03;     1.09;    -0.02;     1.25;     1.24;     2.31;     2.16;     0.36;     2.47;    -0.09;     0.77;     0.42;    -0.03;     0.77;
1920;12;    -0.15;    -0.16;     0.68;     0.10;     0.66;    -0.13;     1.09;     1.09;     1.68;     1.24;     1.03;     1.82;     0.20;     0.31;     0.10;    -0.15;     0.56;
1921;12;     0.34;     0.33;     0.00;    -0.74;     0.22;     0.82;     1.89;     1.90;     1.97;     0.85;     2.04;     0.91;    -0.52;     0.79;     0.26;    -0.41;     0.54;
1922;12;     2.47;     2.46;     1.29;     0.31;     2.15;     2.72;     3.75;     3.75;     3.58;     2.55;     3.66;     2.58;     1.81;     2.83;     2.36;     1.76;     2.21;
1923;12;    -2.37;    -2.38;    -0.97;    -2.13;    -1.25;    -2.32;    -1.65;    -1.65;    -0.55;    -0.15;    -1.81;     0.13;    -2.45;    -2.09;    -2.11;    -2.14;    -1.65;
1924;12;     1.53;     1.52;     0.48;    -0.91;     1.39;     2.16;     3.31;     3.31;     3.20;     1.42;     3.23;     1.40;     1.21;     2.32;     1.88;     1.32;     1.46;
1925;12;    -0.26;    -0.27;    -0.19;    -1.65;    -0.49;    -0.72;    -0.03;    -0.03;     0.93;     0.33;    -0.64;     0.43;    -0.30;    -0.03;    -0.40;    -0.87;    -0.42;
1926;12;     1.47;     1.46;    -0.82;    -1.17;     0.03;     2.21;     2.12;     2.13;     1.43;     0.23;     2.70;     0.10;    -0.24;     1.23;     0.45;    -0.53;     0.55;
1927;12;    -3.44;    -3.45;    -1.66;    -2.92;    -2.42;    -3.04;    -2.42;    -2.42;    -1.43;    -1.72;    -2.34;    -1.52;    -3.59;    -3.06;    -3.28;    -3.56;    -2.58;
1928;12;    -0.64;    -0.65;    -0.37;    -1.65;    -0.38;     0.13;     0.78;     0.79;     0.95;     0.49;     1.18;     0.61;    -1.28;    -0.37;    -0.87;    -1.50;    -0.31;
1929;12;     3.55;     3.54;     3.22;     2.27;     3.81;     3.36;     4.32;     4.32;     4.80;     4.39;     4.15;     4.40;     3.26;     3.86;     3.48;     3.00;     3.55;
1930;12;     0.41;     0.40;     0.30;    -0.61;     0.60;     0.90;     1.37;     1.37;     1.79;     0.95;     1.66;     1.07;     0.02;     0.80;     0.41;    -0.07;     0.57;
1931;12;     1.03;     1.02;    -1.24;    -1.93;    -0.34;     1.36;     1.62;     1.63;     1.25;    -0.21;     2.06;    -0.24;    -0.25;     0.97;     0.25;    -0.66;     0.08;
1932;12;     0.90;     0.89;     0.30;    -0.98;     0.10;     1.62;     2.37;     2.38;     2.69;     0.29;     2.53;     0.53;     0.27;     1.27;     0.72;     0.03;     0.82;
1933;12;    -3.74;    -3.76;    -5.06;    -5.53;    -3.90;    -2.50;    -2.68;    -2.66;    -2.89;    -3.64;    -0.67;    -3.36;    -4.57;    -4.17;    -4.70;    -5.37;    -3.93;
1934;12;     4.20;     4.19;     4.48;     4.00;     5.32;     3.96;     5.46;     5.45;     6.59;     5.62;     4.89;     5.67;     4.68;     4.65;     4.51;     4.34;     4.81;
