Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;05;    31.3;    31.3;    61.5;    95.0;    31.1;    16.3;    25.8;    25.8;    31.9;    38.0;    30.0;    36.7;    57.9;    30.4;    33.8;    38.0;    47.3;
1882;05;    48.9;    48.9;    86.1;    77.0;    57.8;    33.2;    39.7;    39.8;    54.1;    63.1;    43.0;    65.4;    77.0;    44.2;    49.4;    55.9;    59.1;
1883;05;    46.0;    46.0;    75.5;    69.5;    47.2;    40.4;    40.5;    40.4;    35.3;    38.0;    37.3;    40.5;    51.7;    48.6;    50.8;    53.5;    51.5;
1884;05;    51.4;    51.3;    61.6;    52.2;    67.1;    55.5;    57.2;    57.2;    69.2;    65.9;    61.7;    69.5;    48.8;    48.0;    50.0;    52.6;    57.4;
1885;05;    64.8;    64.7;   111.0;    96.7;    73.3;    64.8;    80.9;    80.9;    83.3;    76.9;    78.9;    84.4;    72.7;    66.7;    68.4;    70.6;    82.4;
1886;05;    62.1;    62.1;    78.2;    54.5;    62.3;    51.0;    55.4;    55.3;    57.0;    60.4;    49.1;    69.9;    80.3;    55.7;    57.8;    60.4;    60.0;
1887;05;    88.3;    88.4;   148.2;   132.0;   103.3;    82.0;    85.4;    85.4;    86.5;   112.4;    72.5;   128.0;   120.0;    78.6;    88.8;   101.7;   105.5;
1888;05;    21.2;    21.3;    21.3;    35.1;    24.8;    27.4;    26.3;    26.5;    24.0;    23.1;    30.0;    24.2;    31.7;    16.7;    19.8;    23.7;    26.5;
1889;05;    79.6;    79.4;    90.5;    88.7;    79.4;    62.8;    85.3;    85.3;    79.0;    72.3;    82.4;    75.0;    76.5;    81.6;    84.0;    86.9;    82.1;
1890;05;    65.1;    65.0;   118.5;    72.9;    62.7;    64.9;    58.7;    58.5;    71.8;    66.9;    45.4;    75.8;    56.8;    64.3;    62.8;    61.0;    70.3;
1891;05;    48.8;    48.8;    87.2;    74.2;    62.0;    53.4;    38.9;    39.0;    50.0;    66.0;    45.8;    90.9;    44.6;    43.3;    47.0;    51.7;    58.3;
1892;05;    49.5;    49.5;    44.8;    52.7;    38.9;    47.1;    45.8;    45.9;    43.7;    31.2;    56.5;    25.0;    71.7;    42.6;    46.7;    51.9;    47.8;
1893;05;    35.8;    36.1;    57.6;    78.2;    22.1;    38.1;    31.0;    30.9;    29.8;    25.0;    30.0;    16.8;    56.8;    36.7;    37.4;    38.2;    44.7;
1894;05;    54.4;    54.8;    81.3;    98.8;    34.6;    41.1;    29.6;    29.7;    29.2;    38.9;    37.1;    46.5;    78.4;    34.6;    37.4;    40.8;    55.9;
1895;05;    39.8;    40.1;    98.5;   123.5;    67.4;    43.5;    60.0;    59.7;    78.6;    63.5;    49.8;    73.7;    70.1;    56.8;    66.6;    78.9;    76.8;
1896;05;    27.7;    27.9;    48.7;    90.0;    18.5;    28.3;    20.9;    20.8;    22.2;    13.8;    18.3;    11.5;    56.5;    23.6;    24.7;    26.2;    40.0;
1897;05;    79.9;    80.1;    65.8;   122.7;    73.7;    63.1;    77.4;    77.6;    74.0;    52.7;    68.8;    43.0;   114.4;    64.5;    73.1;    83.9;    83.3;
1898;05;    61.1;    61.2;   150.5;   115.8;   127.8;    72.7;   101.4;   101.3;   120.2;   107.5;    87.9;   129.6;   100.2;    61.9;    70.3;    80.9;   103.9;
1899;05;   114.9;   115.0;    73.0;   100.4;    57.2;    36.6;    97.5;    96.5;    95.3;    54.3;    41.9;    51.6;   191.7;   120.7;   125.9;   132.4;    93.0;
1900;05;    34.3;    34.4;    77.5;    84.8;    50.5;    32.2;    26.0;    25.9;    46.4;    48.7;    24.7;    37.7;    65.8;    41.4;    56.6;    75.8;    53.8;
1901;05;    42.8;    42.9;    29.5;    41.3;    34.3;    40.2;    37.4;    38.1;    26.9;    34.0;    53.7;    42.5;    53.7;    34.6;    40.1;    47.1;    38.6;
1902;05;    56.3;    56.2;   108.6;   108.1;    86.2;    76.5;    97.9;    97.8;   112.5;    77.0;    99.0;    88.5;    71.7;    57.2;    67.4;    80.3;    91.2;
1903;05;    56.9;    56.9;    46.5;    44.5;    49.9;    30.0;    58.9;    58.5;    67.7;    41.2;    43.8;    36.6;    83.0;    66.6;    66.3;    65.8;    53.2;
1904;05;    40.6;    40.2;   122.7;    94.6;    71.7;    39.7;    55.0;    55.1;    47.9;    57.5;    47.7;    65.1;    62.5;    47.0;    58.5;    72.9;    68.5;
1905;05;    44.9;    45.3;    48.6;    57.3;    28.8;    29.9;    27.6;    27.4;    33.9;    39.9;    15.5;    33.6;    61.2;    38.0;    35.6;    32.5;    40.8;
