Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;02;    -1.00;    -1.01;     1.33;    -0.73;     0.75;    -2.01;    -0.05;    -0.07;     1.64;     1.45;    -1.81;     2.25;    -0.92;    -0.42;    -0.34;    -0.25;    -0.10;
1882;02;     2.06;     2.05;     0.72;    -0.60;     1.44;     2.01;     3.03;     3.03;     3.07;     1.68;     2.74;     2.24;     1.43;     2.24;     1.84;     1.33;     1.54;
1883;02;     1.63;     1.62;     2.73;     0.88;     2.91;     1.64;     3.31;     3.31;     4.17;     3.42;     2.46;     3.95;     1.06;     2.12;     2.03;     1.93;     2.30;
1884;02;     2.89;     2.88;     2.55;     1.19;     2.56;     2.78;     3.65;     3.65;     4.03;     2.91;     3.33;     3.54;     2.16;     2.99;     2.61;     2.13;     2.66;
1885;02;     2.45;     2.44;     3.55;     1.42;     3.31;     2.27;     4.05;     4.04;     5.08;     4.01;     2.85;     4.73;     1.98;     2.72;     2.57;     2.38;     2.97;
1886;02;    -3.64;    -3.63;    -2.34;    -3.50;    -2.66;    -3.82;    -2.52;    -2.52;    -1.79;    -1.90;    -2.57;    -1.21;    -3.15;    -3.21;    -3.36;    -3.55;    -2.89;
1887;02;    -0.70;    -0.71;    -1.54;    -2.86;    -0.57;    -0.44;     0.59;     0.59;     0.95;    -0.48;     0.50;    -0.10;    -1.66;    -0.35;    -0.77;    -1.31;    -0.84;
1888;02;    -3.07;    -3.08;    -1.77;    -2.91;    -2.37;    -3.12;    -2.30;    -2.29;    -1.90;    -1.68;    -1.97;    -1.54;    -3.46;    -2.97;    -3.30;    -3.73;    -2.56;
1889;02;    -2.41;    -2.42;    -2.65;    -4.08;    -2.72;    -2.50;    -1.52;    -1.52;    -1.23;    -2.26;    -1.86;    -2.05;    -3.35;    -2.34;    -2.83;    -3.44;    -2.61;
1890;02;    -2.50;    -2.52;    -3.09;    -4.23;    -2.42;    -2.18;    -1.31;    -1.30;    -0.97;    -1.80;    -0.89;    -1.50;    -3.69;    -2.56;    -3.13;    -3.84;    -2.58;
1891;02;    -0.16;    -0.18;    -1.40;    -2.78;    -0.42;     0.04;     0.66;     0.67;     1.10;    -0.17;     0.56;     0.18;    -1.27;    -0.09;    -0.51;    -1.04;    -0.63;
1892;02;     0.51;     0.51;     0.94;    -0.30;     0.65;     0.13;     0.95;     0.95;     1.64;     1.00;     0.37;     1.29;     0.07;     0.73;     0.36;    -0.11;     0.53;
1893;02;     1.62;     1.61;     2.12;     1.03;     2.41;     1.02;     2.26;     2.25;     3.29;     2.78;     0.60;     3.00;     1.34;     2.00;     1.79;     1.51;     1.84;
1894;02;     2.09;     2.08;     1.03;     0.12;     1.84;     1.91;     2.54;     2.55;     2.77;     1.90;     2.15;     1.97;     1.10;     2.29;     1.80;     1.19;     1.60;
1895;02;    -5.56;    -5.58;    -8.20;    -9.01;    -6.99;    -5.70;    -5.29;    -5.28;    -5.51;    -6.89;    -5.46;    -6.65;    -6.92;    -5.85;    -6.60;    -7.55;    -6.82;
1896;02;     0.10;     0.09;    -0.80;    -1.94;    -0.35;     0.29;     1.05;     1.06;     1.23;     0.01;     1.29;     0.17;    -0.90;     0.18;    -0.41;    -1.14;    -0.23;
1897;02;    -0.26;    -0.26;     3.30;     0.98;     1.62;    -0.53;     0.92;     0.92;     2.32;     2.74;    -0.09;     3.27;     0.24;     0.55;     0.51;     0.45;     1.15;
1898;02;     1.64;     1.63;     0.54;    -0.69;     1.23;     1.58;     2.20;     2.21;     2.07;     1.45;     2.12;     1.62;     0.74;     1.78;     1.28;     0.66;     1.08;
1899;02;     2.15;     2.14;     2.38;     0.53;     1.98;     2.09;     2.80;     2.81;     3.26;     2.54;     2.71;     3.00;     1.57;     2.34;     1.94;     1.44;     2.03;
1900;02;     0.47;     0.46;     2.30;     0.79;     1.46;     0.17;     1.19;     1.19;     1.98;     2.09;     0.45;     2.47;     0.49;     0.74;     0.69;     0.62;     1.13;
1901;02;    -3.93;    -3.96;    -4.99;    -6.02;    -4.28;    -3.71;    -2.38;    -2.37;    -2.68;    -3.69;    -2.41;    -3.52;    -4.93;    -3.75;    -4.29;    -4.97;    -4.13;
1902;02;    -1.89;    -1.90;    -0.27;    -0.79;    -0.81;    -2.90;    -1.83;    -1.84;    -0.63;    -0.13;    -2.32;     0.27;    -1.32;    -1.79;    -1.77;    -1.75;    -1.25;
1903;02;     3.84;     3.82;     3.23;     2.21;     3.65;     3.44;     4.75;     4.75;     4.90;     3.82;     3.93;     3.80;     3.42;     4.35;     4.01;     3.58;     3.64;
1904;02;     0.97;     0.96;     1.25;     0.37;     1.22;     0.55;     1.66;     1.66;     2.00;     1.78;     1.05;     2.01;     0.71;     1.23;     0.96;     0.62;     1.10;
1905;02;     1.88;     1.86;     0.64;    -0.03;     1.34;     1.41;     2.16;     2.16;     2.46;     1.72;     1.91;     1.83;     0.96;     1.95;     1.46;     0.83;     1.31;
