Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;12;    21.5;    21.5;    36.6;    39.8;    48.4;    25.0;    46.0;    45.9;    60.5;    48.0;    50.4;    52.3;    30.0;    21.4;    28.4;    37.2;    39.6;
1882;12;    45.7;    45.6;   133.5;   119.1;    94.9;    27.0;    49.3;    49.1;   104.6;    96.5;    45.1;   113.1;    76.4;    43.0;    58.3;    77.5;    83.0;
1883;12;    57.3;    57.1;    81.7;    88.8;    75.6;    62.3;    85.7;    85.7;    98.1;    75.0;   102.2;    89.2;    67.5;    53.4;    61.7;    72.0;    79.3;
1884;12;    68.9;    68.6;   113.0;    94.8;   106.0;    61.2;    86.9;    86.7;   139.3;   127.2;    86.7;   156.9;    81.3;    68.6;    77.9;    89.6;    95.5;
1885;12;    36.1;    36.0;   102.5;    89.4;    42.7;    23.6;    26.5;    26.4;    39.7;    53.6;    32.0;    72.8;    57.4;    31.9;    36.1;    41.3;    54.1;
1886;12;    60.6;    60.4;   179.1;   120.8;   108.7;    54.6;    74.5;    74.4;   107.1;   128.6;    96.8;   171.6;    86.9;    57.1;    71.7;    90.2;   101.9;
1887;12;    47.1;    47.0;    99.1;    92.2;    87.0;    45.6;    60.5;    60.2;    90.5;    92.9;    56.7;   112.9;    53.0;    46.1;    54.6;    65.2;    74.0;
1888;12;    16.4;    16.4;    12.5;    12.8;    18.9;    26.0;    29.7;    29.7;    26.4;    15.8;    32.2;    20.2;    15.1;    13.7;    14.3;    15.0;    19.2;
1889;12;    26.3;    26.2;    35.7;    36.0;    52.8;    22.5;    40.2;    40.0;    62.2;    57.0;    29.3;    67.4;    25.6;    27.1;    29.8;    33.1;    38.2;
1890;12;     9.0;     9.0;     6.5;     4.9;     4.4;     6.7;     6.3;     6.2;     5.5;     4.5;     4.1;     5.8;    10.3;     9.2;     8.3;     7.3;     6.3;
1891;12;    50.5;    50.6;   119.4;   104.3;    88.1;    54.7;    86.6;    86.6;   108.0;    89.8;    92.0;   103.9;    73.7;    51.5;    63.7;    79.1;    87.8;
1892;12;    46.4;    46.3;    48.3;    50.1;    45.5;    51.1;    57.8;    57.7;    61.3;    52.7;    59.8;    67.6;    57.2;    37.8;    43.3;    50.2;    51.8;
1893;12;    20.5;    20.5;    30.2;    30.3;    38.2;    26.8;    38.9;    38.9;    42.6;    49.6;    51.3;    60.6;    23.9;    21.2;    26.9;    34.2;    33.5;
1894;12;    43.3;    43.3;    57.3;    62.2;    56.5;    47.1;    76.2;    76.0;    79.8;    52.7;    55.8;    64.0;    46.4;    42.8;    50.1;    59.3;    59.4;
1895;12;    53.9;    54.0;   133.8;   114.4;   103.9;    57.3;    69.3;    69.2;   109.9;   112.7;    71.2;   134.3;    83.3;    57.3;    73.4;    93.6;    92.6;
1896;12;    30.4;    30.4;    50.1;    32.0;    31.5;    40.6;    30.7;    30.7;    42.8;    52.8;    50.9;    73.3;    34.0;    25.5;    28.6;    32.5;    37.1;
1897;12;    27.2;    27.2;    39.7;    36.2;    49.6;    37.7;    50.0;    50.0;    57.4;    58.6;    62.3;    75.0;    23.1;    25.7;    31.1;    37.9;    42.0;
1898;12;    41.8;    41.8;    40.2;    49.0;    50.0;    46.4;    66.1;    66.0;    71.3;    44.1;    86.2;    46.9;    53.2;    41.5;    44.4;    48.0;    52.9;
1899;12;    34.5;    34.5;    75.7;    60.9;    40.9;    37.3;    38.8;    38.8;    47.9;    62.0;    40.9;    72.5;    41.2;    30.3;    32.8;    36.0;    48.5;
1900;12;    36.4;    36.6;   100.6;    81.8;    81.2;    39.3;    54.5;    54.3;    97.0;    78.0;    53.8;    90.0;    62.4;    41.9;    55.6;    72.8;    69.6;
1901;12;    50.7;    50.7;    68.7;    64.6;    68.8;    69.9;    67.3;    67.6;    88.0;    70.1;    87.1;   116.5;    60.9;    44.5;    48.6;    53.8;    66.9;
1902;12;    39.0;    39.0;    99.9;    97.7;    99.5;    46.2;    54.7;    54.4;   105.6;    88.7;    41.2;    96.7;    73.4;    46.3;    63.5;    85.2;    76.9;
1903;12;    12.3;    12.4;    21.9;    15.6;    18.1;    14.4;    16.4;    16.4;    24.0;    21.7;    19.2;    30.8;    15.4;    13.8;    14.0;    14.3;    17.4;
1904;12;    40.7;    40.7;    44.9;    51.3;    59.7;    40.7;    51.8;    51.6;    73.4;    61.5;    51.1;    82.1;    54.0;    41.3;    44.7;    49.0;    52.0;
1905;12;    32.1;    32.1;    43.1;    42.7;    30.9;    34.7;    42.4;    42.4;    39.7;    32.3;    32.3;    43.1;    46.9;    33.0;    31.8;    30.2;    38.4;
1906;12;    48.1;    47.8;    83.5;    71.0;    72.2;    42.1;    64.2;    64.0;    89.2;    63.2;    56.1;    72.1;    59.9;    46.5;    57.3;    70.9;    66.3;
1907;12;    55.8;    55.8;    88.2;    83.5;    77.8;    65.2;    71.1;    70.9;    72.2;    86.6;    71.0;   102.6;    71.6;    49.4;    55.6;    63.3;    73.7;
1908;12;    10.1;    10.1;    33.3;    24.8;    23.7;    16.0;    14.2;    14.1;    27.5;    28.4;    16.7;    42.7;    11.6;     8.1;    11.8;    16.5;    20.6;
1909;12;    59.7;    59.6;    91.5;    86.6;    90.0;    73.3;    84.0;    84.1;   106.7;   100.3;   104.9;   132.0;    60.5;    44.5;    54.9;    67.9;    83.1;
1910;12;    31.9;    31.9;    71.5;    60.4;    59.8;    33.7;    53.4;    53.3;    69.9;    67.4;    63.6;    84.8;    46.5;    25.0;    31.4;    39.5;    54.3;
1911;12;    44.1;    44.0;    99.4;    85.4;    93.9;    46.9;    59.3;    59.3;    89.1;    95.2;    63.6;   128.4;    61.9;    50.9;    57.4;    65.6;    74.0;
1912;12;    52.5;    52.4;    51.2;    44.6;    65.6;    69.7;    74.0;    74.0;    97.8;    60.8;   101.1;    86.4;    62.5;    44.9;    48.9;    54.0;    62.9;
1913;12;    94.8;    94.3;    68.9;    80.1;    88.2;    86.1;    92.9;    92.8;   107.1;    71.7;    96.8;    81.6;   104.4;    78.1;    85.0;    93.7;    87.5;
1914;12;    47.1;    47.1;    68.3;    47.4;    67.7;    53.4;    61.8;    61.7;    77.8;    70.0;    65.9;   108.6;    55.6;    47.5;    51.9;    57.3;    59.3;
1915;12;    79.8;    80.1;   146.5;   117.5;   125.5;    97.8;   117.8;   118.0;   134.9;   139.7;   138.6;   219.6;    67.6;    72.0;    81.6;    93.6;   114.8;
1916;12;    67.8;    67.7;    86.6;    74.2;    81.3;    75.5;    69.7;    69.8;    81.1;    90.3;    85.3;   110.7;    68.9;    60.2;    70.6;    83.6;    76.5;
