Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;01;    -5.54;    -5.56;    -4.89;    -6.51;    -5.68;    -5.07;    -4.55;    -4.55;    -4.21;    -4.49;    -4.06;    -4.15;    -6.22;    -5.89;    -6.28;    -6.76;    -5.36;
1882;01;     1.43;     1.42;    -0.65;    -1.33;    -0.30;     1.59;     1.73;     1.73;     1.26;    -0.17;     2.11;    -0.04;     0.63;     1.18;     0.60;    -0.12;     0.41;
1883;01;    -0.41;    -0.42;    -0.09;    -1.49;     0.04;    -0.69;     0.33;     0.32;     1.27;     0.49;    -0.12;     0.55;    -1.20;    -0.39;    -0.69;    -1.07;    -0.32;
1884;01;     3.35;     3.34;     2.34;     1.22;     2.97;     3.16;     3.99;     3.99;     4.17;     3.24;     3.56;     3.24;     2.39;     3.32;     2.93;     2.43;     2.86;
1885;01;    -2.15;    -2.16;    -3.88;    -4.91;    -2.66;    -1.71;    -1.44;    -1.44;    -1.14;    -2.01;    -1.09;    -2.00;    -2.87;    -2.86;    -3.36;    -3.98;    -2.79;
1886;01;    -0.96;    -0.96;    -1.44;    -2.95;    -1.01;    -0.97;    -0.41;    -0.41;     0.19;    -0.34;    -0.50;    -0.22;    -1.59;    -1.11;    -1.51;    -2.01;    -1.25;
1887;01;    -3.13;    -3.14;    -4.42;    -5.90;    -4.34;    -2.74;    -2.27;    -2.26;    -1.79;    -3.26;    -2.12;    -2.90;    -3.81;    -3.51;    -4.27;    -5.23;    -3.72;
1888;01;    -1.18;    -1.19;    -2.96;    -4.01;    -2.09;    -1.13;    -0.51;    -0.51;    -0.67;    -2.01;    -0.45;    -1.80;    -2.08;    -0.93;    -1.52;    -2.27;    -1.93;
1889;01;    -2.96;    -2.97;    -2.47;    -3.55;    -2.14;    -2.94;    -1.60;    -1.60;    -0.78;    -1.76;    -1.40;    -1.53;    -3.08;    -2.58;    -2.79;    -3.05;    -2.43;
1890;01;     2.14;     2.13;     1.78;     0.75;     2.03;     1.90;     3.05;     3.04;     3.36;     2.38;     2.58;     2.74;     1.66;     2.42;     2.03;     1.52;     2.04;
1891;01;    -3.97;    -3.99;    -5.34;    -6.53;    -4.51;    -4.02;    -3.37;    -3.37;    -3.04;    -4.23;    -3.45;    -3.85;    -4.40;    -3.96;    -4.40;    -4.96;    -4.54;
1892;01;    -2.09;    -2.10;    -1.85;    -2.56;    -1.54;    -2.79;    -1.27;    -1.28;    -0.11;    -1.03;    -1.69;    -0.88;    -1.90;    -1.63;    -1.89;    -2.22;    -1.76;
1893;01;    -8.26;    -8.27;    -7.07;    -9.35;    -7.17;    -8.17;    -5.58;    -5.58;    -4.66;    -6.00;    -5.84;    -5.37;    -7.79;    -7.41;    -7.82;    -8.32;    -7.26;
1894;01;    -1.48;    -1.49;    -2.07;    -4.13;    -1.92;    -1.58;    -0.39;    -0.39;     0.09;    -1.43;    -0.51;    -1.22;    -2.06;    -1.48;    -1.95;    -2.55;    -1.83;
1895;01;    -3.32;    -3.33;    -5.22;    -5.95;    -4.23;    -2.79;    -2.84;    -2.83;    -2.72;    -3.92;    -2.35;    -3.67;    -4.11;    -3.43;    -4.02;    -4.77;    -4.03;
1896;01;    -0.52;    -0.53;    -1.52;    -2.91;    -0.65;     0.11;     0.82;     0.82;     0.80;    -0.37;     0.96;    -0.19;    -1.61;    -0.19;    -0.82;    -1.62;    -0.76;
