Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1881;11;    18.8;    18.8;    27.9;    23.3;    29.2;    31.7;    35.5;    35.7;    43.8;    32.6;    55.9;    42.1;    17.0;    15.9;    18.2;    21.1;    29.1;
1882;11;    62.1;    62.0;   205.0;   146.2;   144.1;    70.0;    89.1;    89.2;   131.3;   176.5;   113.4;   227.6;    82.9;    60.0;    80.4;   105.9;   121.5;
1883;11;    42.8;    42.8;    79.9;    63.8;    83.4;    57.0;    72.6;    72.5;    99.7;    90.2;    92.5;   116.5;    42.6;    41.7;    47.9;    55.7;    69.3;
1884;11;    50.1;    50.0;    39.5;    35.2;    31.4;    46.8;    59.6;    59.6;    47.2;    31.3;    62.4;    37.6;    45.3;    50.7;    47.6;    43.7;    44.7;
1885;11;    36.3;    36.2;    57.0;    66.1;    63.3;    29.1;    42.5;    42.2;    66.1;    56.6;    33.3;    67.6;    48.9;    37.2;    45.2;    55.3;    51.8;
1886;11;    39.7;    39.6;    89.6;    49.4;    61.5;    26.2;    49.7;    49.5;    60.8;    63.7;    50.8;    76.9;    49.5;    42.0;    46.6;    52.4;    53.7;
1887;11;    48.4;    48.3;    54.3;    59.0;    43.7;    47.5;    37.8;    37.7;    40.7;    49.0;    39.2;    64.6;    65.9;    45.1;    48.4;    52.4;    49.2;
1888;11;    45.6;    45.5;    58.1;    46.6;    40.2;    60.7;    62.1;    62.3;    60.2;    44.2;    75.0;    56.3;    39.0;    41.3;    40.5;    39.5;    51.8;
1889;11;    15.6;    15.6;    53.8;    44.8;    33.6;    13.9;    29.9;    29.8;    41.3;    40.7;    33.8;    45.0;    20.0;    16.7;    20.4;    25.0;    33.7;
1890;11;    69.2;    69.0;    82.1;    82.6;    97.7;    46.5;    79.8;    79.3;   128.2;    88.7;    52.1;   100.4;    96.3;    73.6;    82.2;    93.1;    83.6;
1891;11;    37.5;    37.5;    70.8;    56.7;    41.4;    30.0;    28.7;    28.8;    27.8;    53.1;    32.2;    64.4;    50.9;    27.1;    33.6;    41.9;    43.4;
1892;11;     7.0;     6.9;    26.9;    21.8;    17.5;     8.5;    24.6;    24.4;    32.5;    29.7;    27.1;    30.4;     5.1;     4.4;     8.3;    13.1;    19.8;
1893;11;    77.4;    77.2;    61.0;    76.6;    70.6;    76.2;    68.9;    68.9;    81.3;    64.6;    77.3;    78.2;    68.2;    69.2;    70.2;    71.5;    72.4;
1894;11;    20.5;    20.5;    27.6;    23.6;    37.7;    24.5;    37.5;    37.4;    41.3;    41.4;    39.7;    41.0;    12.0;    20.2;    21.9;    24.0;    29.2;
1895;11;    46.4;    46.2;   109.0;    66.3;    76.0;    54.8;    65.6;    65.6;    75.5;    76.7;    73.6;   102.1;    47.4;    38.9;    47.4;    58.0;    67.7;
1896;11;    16.9;    17.0;    26.5;    20.5;    28.6;    28.6;    30.6;    30.6;    38.7;    39.0;    19.5;    31.3;    26.2;    16.2;    19.2;    22.9;    26.1;
1897;11;    19.3;    19.3;    25.8;    27.7;    28.3;    17.2;    32.2;    32.1;    43.9;    27.6;    26.5;    25.0;    36.1;    17.6;    23.8;    31.6;    28.2;
1898;11;    11.8;    12.0;    62.4;    40.2;    19.3;    17.7;    24.8;    24.8;    24.2;    31.1;    47.5;    37.7;    30.7;     8.0;    12.1;    17.2;    30.1;
1899;11;    28.0;    28.0;    22.8;    30.4;    34.1;    35.6;    47.4;    47.5;    43.9;    28.9;    60.9;    26.2;    37.6;    27.7;    32.4;    38.2;    35.4;
1900;11;    41.0;    40.9;    48.1;    38.9;    49.7;    27.1;    30.7;    30.5;    38.9;    51.2;    25.7;    58.8;    44.2;    40.4;    44.5;    49.8;    39.8;
1901;11;    65.9;    65.8;    37.8;    47.2;    50.4;    70.6;   109.4;   108.8;   103.7;    34.8;    94.8;    39.4;    69.8;    69.8;    64.1;    57.0;    67.5;
1902;11;     4.1;     4.2;    18.2;     8.2;    15.1;     8.0;     8.9;     8.8;    15.4;    21.7;     9.4;    32.5;     5.5;     5.7;     5.9;     6.1;    10.7;
1903;11;    49.6;    49.6;    94.3;    92.6;    78.7;    60.6;    76.3;    76.3;    93.5;    73.4;    72.6;    89.1;    79.5;    56.1;    67.9;    82.7;    78.9;
1904;11;    56.3;    56.6;    53.2;    60.4;    65.0;    70.8;    79.1;    79.0;    81.5;    52.6;    91.8;    64.6;    78.8;    57.4;    63.8;    71.9;    67.1;
1905;11;    48.0;    48.0;    64.2;    73.0;    53.7;    38.9;    42.2;    42.2;    57.9;    75.4;    45.3;   104.0;    75.0;    58.8;    58.8;    58.9;    58.9;
1906;11;    41.9;    41.9;    60.8;    43.4;    65.4;    56.4;    65.5;    65.5;    78.3;    67.7;    76.5;    85.8;    37.4;    36.0;    40.2;    45.4;    56.0;
1907;11;    15.8;    15.9;    34.9;    35.5;    44.5;    19.0;    28.6;    28.4;    50.2;    45.6;    30.4;    50.3;    28.7;    13.4;    19.3;    26.7;    32.1;
1908;11;    22.2;    22.1;    47.5;    40.9;    43.2;    24.5;    31.3;    31.0;    55.1;    46.3;    34.0;    52.5;    36.3;    22.8;    28.9;    36.7;    37.7;
1909;11;    71.6;    71.4;    70.0;    64.1;    62.7;    60.0;    74.3;    74.1;    68.5;    50.2;    70.0;    48.6;    91.6;    64.4;    73.8;    85.6;    68.5;
1910;11;    68.3;    68.0;   157.2;   128.8;   109.1;    50.3;    63.5;    63.3;    93.1;   146.4;    92.7;   189.3;    96.9;    54.9;    66.3;    80.6;    99.9;
1911;11;    25.6;    25.6;    68.7;    50.3;    56.1;    37.3;    45.3;    45.6;    61.5;    76.4;    75.7;   115.4;    29.2;    24.0;    28.2;    33.4;    49.6;
1912;11;    49.1;    49.1;    58.9;    65.9;    83.7;    53.2;    95.6;    95.6;   106.6;    57.1;    80.5;    55.3;    69.1;    59.3;    68.2;    79.4;    72.4;
1913;11;    46.7;    46.9;   126.3;   103.6;    93.6;    53.5;    57.4;    57.4;    78.0;    94.6;    70.8;   131.2;    66.4;    40.3;    48.7;    59.3;    79.3;
1914;11;    21.8;    22.0;    50.3;    46.9;    50.4;    40.3;    51.5;    51.7;    50.9;    45.6;    70.9;    57.0;    28.7;    25.3;    32.0;    40.5;    44.5;
1915;11;    34.1;    34.3;    66.3;    46.9;    42.7;    25.1;    42.0;    42.0;    57.4;    51.8;    49.2;    70.6;    64.3;    24.3;    32.3;    42.3;    46.5;
1916;11;    35.7;    35.8;    64.0;    45.7;    45.8;    39.8;    59.3;    59.4;    49.2;    44.0;    63.7;    67.4;    34.7;    34.1;    37.3;    41.3;    48.0;
1917;11;    39.9;    40.0;    59.5;    49.9;    46.6;    53.4;    44.7;    44.8;    63.8;    53.2;    64.9;    60.8;    38.0;    27.6;    32.3;    38.3;    49.3;
1918;11;    15.5;    15.2;    40.8;    25.7;    22.6;    11.8;    19.0;    18.9;    32.6;    36.9;    17.0;    46.8;    19.7;    14.2;    16.8;    20.1;    24.2;
1919;11;    82.8;    82.8;   124.6;   109.5;    95.3;    65.8;    76.5;    76.5;   101.6;   105.0;    59.4;   139.5;   108.1;    77.8;    84.2;    92.3;    95.0;
1920;11;     6.7;     6.7;     7.8;     6.2;    15.3;     7.9;    10.8;    10.8;    17.3;    12.5;    18.2;    17.0;     8.2;     8.5;    10.2;    12.2;    10.2;
